####################################################################
#                                                                  #
#	lexicon: all lexemes in biblical Hebrew                    #
#                                                                  #
####################################################################
#ident "@(#)lexicon	1.135 21/08/06"
# The spelling of proper names is that of the RSV
">JH=/"		sp=nmpr:sm=pers:gn=m:vc=>AJ.@H:gl=Ayyah
">JWB/"		sp=nmpr:sm=pers:gn=m:vc=>IJ.OWB:gl=Job
">JZBL/"	sp=nmpr:sm=pers:gn=f:vc=>IJZEBEL:gl=Jezebel
">JK"		sp=inrg:vc=>;JK\::gl=how
">JKBWD/"	sp=nmpr:sm=pers:gn=m:vc=>IJK@BOWD:gl=Ichabod
">JKH"		sp=inrg:vc=>;JK@H:gl=how
">JKH="		sp=inrg:vc=>;JKOH:gl=how
">JKKH"		sp=inrg:vc=>;JK@K@H:gl=how
">JL/"		sp=subs:vc=>AJ.@L:gl=fallow-buck
">JL=/"		sp=subs:fc=seg:gn=m:vc=>AJIL:gl=ram, despot
">JL==/"	sp=subs:fc=seg:vc=>AJIL:gl=mighty tree
">JL===/"	sp=subs:fc=seg:gn=m:vc=>AJIL:gl=pillar
">JL====/"	sp=subs:gn=m:rt=>JL:vc=>\:EJ@L:gl=strength
">JL_P>RN/"	sp=nmpr:sm=topo:vc=>;JL_P.@>R@N:gl=El Paran
">JLH/"		sp=subs:rt=>WL:vc=>AJ.@L@H:gl=doe
">JLWN/"	sp=nmpr:sm=pers:gn=m:vc=>;JLOWN:gl=<judge>
">JLWN=/"	sp=nmpr:sm=topo:vc=>;JLOWN:gl=Elon
">JLWN==/"	sp=nmpr:sm=topo:vc=>AJ.@LOWN:gl=Aijalon
">JLWT/"	sp=subs:gn=f:vc=>\:EJ@LW.T:gl=power
">JLM/"		sp=subs:gn=m:rt=>WL:vc=>;JL@M:gl=porch
">JLM=/"	sp=nmpr:sm=topo:vc=>;JLIM:gl=Elim
">JLT/"		sp=nmpr:sm=topo:vc=>;JLAT:gl=Elath
">JLT=/"	sp=subs:rt=>WL:vc=>AJ.ELET:gl=doe
">JM/"		sp=adjv:rt=>JM:vc=>@JOM:gl=frightful
">JMH/"		sp=subs:gn=f:rt=>JM:vc=>;JM@H:gl=fright
">JMJ/"		sp=adjv:ls=gntl:rt=>JM:vc=>;JMIJ:gl=Emite
">JN"		sp=inrg:vc=>AJIN:gl=whence
">JN/"		sp=subs:ls=nmcp:gn=m:vc=>AJIN:gl=<NEG>
">JN="		sp=conj:vc=>IJN:gl=if
">J<ZR/"	sp=nmpr:sm=pers:gn=m:vc=>IJ<EZER:gl=Iezer
">J<ZRJ/"	sp=adjv:ls=gntl:vc=>IJ<EZ\:RIJ:gl=Iezerite
">JPH"		sp=inrg:vc=>;JPOH:gl=where
">JPH/"		sp=subs:rt=<uncertain>:vc=>;JP@H:gl=ephah
">JC/"		sp=subs:ls=nmdi:gn=m:vc=>IJC:gl=man
">JC_BCT/"	sp=nmpr:sm=pers:gn=m:vc=>IJC_B.OCET:gl=Ish-Bosheth
">JCHWD/"	sp=nmpr:sm=pers:gn=m:vc=>IJC\:HOWD:gl=Ishhod
">JCWN/"	sp=subs:gn=m:rt=>JC:vc=>IJCOWN:gl=pupil of eye
">JTWN/"	sp=adjv:vc=>IJTOWN:gl=<uncertain>
">JTJ>L/"	sp=nmpr:sm=pers:gn=m:vc=>IJTIJ>;L:gl=Ithiel
">JTMR/"	sp=nmpr:sm=pers:gn=m:rt=>WH:vc=>IJT@M@R:gl=Ithamar
">JTN/"		sp=adjv:rt=JTN:vc=>;JT@N:gl=ever-flowing
">JTN=/"	sp=nmpr:sm=pers:gn=m:vc=>;JT@N:gl=Ethan
">K"		sp=advb:ls=focp:vc=>AK\::gl=only
">KD/"		sp=nmpr:sm=topo:vc=>AK.AD:gl=Akkad
">KZB/"		sp=adjv:vc=>AK\:Z@B:gl=deceitful
">KZJB/"	sp=nmpr:sm=topo:vc=>AK\:ZIJB:gl=Aczib
">KZR/"		sp=adjv:rt=KZR:vc=>AK\:Z@R:gl=cruel
">KZRJ/"	sp=adjv:rt=KZR:vc=>AK\:Z@RIJ:gl=cruel
">KZRJWT/"	sp=subs:gn=f:rt=KZR:vc=>AK\:Z\:RIJ.W.T:gl=cruelty
">KJLH/"	sp=subs:vc=>\:AKIJL@H:gl=food
">KJC/"		sp=nmpr:sm=pers:gn=m:rt=>KC:vc=>@KIJC:gl=Achish
">KL["		sp=verb:vc=>@KAL:gl=eat
">KL/"		sp=subs:fc=seg:gn=m:vc=>OKEL:gl=food
">KL=/"		sp=subs:gn=m:rt=>KL:vc=>UK@L:gl=<uncertain>
">KLH/"		sp=subs:vc=>@K\:L@H:gl=food
">KN"		sp=intj:vc=>@K;N:gl=surely
">KP["		sp=verb:vc=>@KAP:gl=press hard
">KP/"		sp=subs:fc=seg:gn=m:vc=>EKEP:gl=pressure
">KR/"		sp=subs:gn=m:vc=>IK.@R:gl=farmer
">KCP/"		sp=nmpr:sm=topo:vc=>AK\:C@P:gl=Acshaph
">L"		sp=prep:vc=>EL:gl=to
">L/"		sp=subs:gn=m:rt=>LH?:vc=>;L:gl=god
">L="		sp=nega:vc=>AL:gl=not
">L=/"		sp=subs:vc=>AL:gl=nothingness
">L=="		sp=inrg:vc=>AL:gl=where
">L==/"		sp=subs:gn=m:rt=>LH?:vc=>;L:gl=power
">L==="		sp=prde:gn=unknown:nu=p:vc=>;L:gl=these
">L_BRJT/"	sp=nmpr:sm=pers:gn=m:vc=>;L_B.\:RIJT:gl=El-Berith
">L>/"		sp=nmpr:sm=pers:gn=m:vc=>;L@>:gl=Ela
">LGBJC/"	sp=subs:gn=m:vc=>EL\:G.@BIJC:gl=ice-crystal
">LDD/"		sp=nmpr:sm=pers:gn=m:vc=>EL\:D.@D:gl=Eldad
">LD<H/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:D.@<@H:gl=Eldaah
">LH"		sp=prde:gn=unknown:nu=p:vc=>;L.EH:gl=these
">LH["		sp=verb:vc=>@L@H:gl=swear
">LH/"		sp=subs:rt=>WL:vc=>;L@H:gl=big tree
">LH=["		sp=verb:vc=>@L@H:gl=be unable
">LH=/"		sp=subs:vc=>@L@H:gl=curse
">LH==["	sp=verb:vc=>@L@H:gl=wail
">LH==/"	sp=subs:vc=>AL.@H:gl=big tree
">LH===/"	sp=nmpr:sm=pers:gn=m:vc=>;L@H:gl=Elah
">LHJM/"	sp=subs:vc=>\:ELOHIJM:gl=god(s)
">LW"		sp=conj:vc=>IL.W.:gl=if
">LWH/"		sp=subs:gn=m:vc=>\:ELOWH.A:gl=god
">LWL/"		sp=nmpr:sm=mens:vc=>\:ELW.L:gl=Elul
">LWN/"		sp=subs:gn=m:vc=>;LOWN:gl=big tree
">LWN=/"	sp=subs:gn=m:vc=>AL.OWN:gl=big tree
">LWN==/"	sp=nmpr:sm=pers:gn=m:vc=>;LOWN:gl=Elon
">LWN===/"	sp=nmpr:sm=pers:gn=m:vc=>AL.OWN:gl=Allon
">LWP/"		sp=subs:gn=m:vc=>AL.W.P:gl=chief
">LWP=/"	sp=adjv:vc=>AL.W.P:gl=familiar
">LWC/"		sp=nmpr:sm=topo:vc=>@LW.C:gl=Alush
">LZBD/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:Z@B@D:gl=Elzabad
">LX["		sp=verb:fc=1>,3g:gl=be corrupt
">LXNN/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:X@N@N:gl=Elhanan
">LJ/"		sp=adjv:ls=gntl:vc=>\:ELIJ:gl=-elite
">LJ>B/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJ>@B:gl=Eliab
">LJ>L/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJ>;L:gl=Eliel
">LJ>TH/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJ>@T@H:gl=Eliathah
">LJDD/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJD@D:gl=Elidad
">LJD</"	sp=nmpr:sm=pers:gn=m:vc=>EL\:J@D@<:gl=Eliada
">LJH/"		sp=subs:vc=>AL\:J@H:gl=fat tail
">LJH=/"	sp=nmpr:sm=pers:gn=m:vc=>;LIJ.@H:gl=Elijah
">LJHW/"	sp=nmpr:sm=pers:gn=m:vc=>;LIJ.@HW.:gl=Elijah
">LJHW=/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJHW.:gl=Elihu
">LJHW>/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJHW.>:gl=Elihu
">LJHW<JNJ/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:J\:HOW<;JNAJ:gl=Eliehoenai
">LJW<JNJ/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:JOW<;JNAJ:gl=Elioenai
">LJXB>/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:JAX\:B.@>:gl=Eliahba
">LJXRP/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJXOREP:gl=Elihoreph
">LJL/"		sp=subs:gn=m:vc=>\:ELIJL:gl=god
">LJMLK/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJMELEK\::gl=Elimelech
">LJSP/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:J@S@P:gl=Eliasaph
">LJ<ZR/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJ<EZER:gl=Eliezer
">LJ<M/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJ<@M:gl=Eliam
">LJ<NJ/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJ<;NAJ:gl=Elienai
">LJPZ/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJPAZ:gl=Eliphaz
">LJPL/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJPAL:gl=Eliphal
">LJPLHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJP\:L;HW.:gl=Eliphelehu
">LJPLV/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJPELEV:gl=Eliphelet
">LJYWR/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJYW.R:gl=Elizur
">LJYPN/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJY@P@N:gl=Elizaphan
">LJQ>/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJQ@>:gl=Elika
">LJQJM/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:J@QIJM:gl=Eliakim
">LJCB</"	sp=nmpr:sm=pers:gn=f:vc=>\:ELIJCEBA<:gl=Elisheba
">LJCH/"	sp=nmpr:sm=topo:vc=>\:ELIJC@H:gl=Elishah
">LJCW</"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJCW.<A:gl=Elishua
">LJCJB/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:J@CIJB:gl=Eliashib
">LJCM</"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJC@M@<:gl=Elishama
">LJC</"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJC@<:gl=Elisha
">LJCPV/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJC@P@V:gl=Elishaphat
">LJTH/"	sp=nmpr:sm=pers:gn=m:vc=>\:ELIJ.@T@H:gl=Eliathah
">LLJ"		sp=intj:vc=>AL\:LAJ:gl=alas
">LM["		sp=verb:vc=>@LAM:gl=bind
">LM/"		sp=adjv:fc=ie:vc=>IL.;M:gl=speechless
">LM=/"		sp=subs:gn=m:vc=>;LEM:gl=<uncertain>
">LMGJM/"	sp=subs:vc=>AL\:MUG.IJM:gl=almug wood
">LMH/"		sp=subs:gn=f:vc=>\:ALUM.@H:gl=sheaf
">LMWDD/"	sp=nmpr:sm=pers:gn=m:vc=>AL\:MOWD@D:gl=Almodad
">LMLK/"	sp=nmpr:sm=topo:vc=>ALAM.ELEK\::gl=Allammelech
">LMN/"		sp=subs:gn=m:vc=>AL\:MON:gl=widowhood
">LMN=/"	sp=subs:gn=m:vc=>AL\:M@N:gl=widower
">LMNH/"	sp=subs:rt=>LM:vc=>AL\:M@N@H:gl=widow
">LMNWT/"	sp=subs:gn=f:rt=>LM:vc=>AL\:M@NW.T:gl=widowhood
">LMNJ/"	sp=subs:gn=m:vc=>AL\:MONIJ:gl=stranger
">LNJ/"		sp=adjv:ls=gntl:vc=>;LONIJ:gl=Elonite
">LN<M/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:N@<AM:gl=Elnaam
">LNTN/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:N@T@N:gl=Elnathan
">LSR/"		sp=nmpr:sm=topo:vc=>EL.@S@R:gl=Ellasar
">L<D/"		sp=nmpr:sm=pers:gn=m:vc=>EL\:<@D:gl=Elead
">L<DH/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:<@D@H:gl=Eleadah
">L<WZJ/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:<W.ZAJ:gl=Eluzai
">L<ZR/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:<@Z@R:gl=Eleazar
">L<LH/"	sp=nmpr:sm=topo:vc=>EL\:<@L;H:gl=Elealeh
">L<FH/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:<@F@H:gl=Elasah
">LP["		sp=verb:fc=1>:gl=be familiar
">LP/"		sp=subs:fc=seg:gn=m:vc=>ELEP:gl=cattle
">LP=["		sp=verb:fc=1>:gl=produce in abundance
">LP=/"		sp=subs:fc=seg:ls=card:vc=>ELEP:gl=thousand
">LP==/"	sp=subs:fc=seg:ls=mult:gn=m:vc=>ELEP:gl=group of thousand
">LP===/"	sp=nmpr:sm=topo:vc=>ELEP:gl=Eleph
">LPLV/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:P.ELEV:gl=Elpelet
">LP<L/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:P.A<AL:gl=Elpaal
">LY["		sp=verb:fc=1>:gl=press hard
">LYPN/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:Y@P@N:gl=Elizaphan
">LQWM/"	sp=subs:vc=>AL\:QW.M:gl=<uncertain>
">LQNH/"	sp=nmpr:sm=pers:gn=m:vc=>EL\:Q@N@H:gl=Elkanah
">LQCJ/"	sp=adjv:ls=gntl:vc=>EL\:QOCIJ:gl=Elkoshite
">LTWLD/"	sp=nmpr:sm=topo:vc=>EL\:T.OWLAD:gl=Eltolad
">LTQ>/"	sp=nmpr:sm=topo:vc=>EL\:T.\:Q;>:gl=Eltekeh
">LTQN/"	sp=nmpr:sm=topo:vc=>EL\:T.\:QON:gl=Eltekon
">M"		sp=conj:vc=>IM:gl=if
">M/"		sp=subs:gn=f:rt=>MM:vc=>;M:gl=mother
">MH/"		sp=subs:vc=>@M@H:gl=handmaid
">MH=/"		sp=subs:rt=>MM:vc=>AM.@H:gl=cubit
">MH==/"	sp=subs:gn=f:rt=>MM:vc=>UM.@H:gl=clan
">MH===/"	sp=subs:vc=>AM.@H:gl=<uncertain>
">MH====/"	sp=nmpr:vc=>AM.@H:gl=Ammah:sm=topo
">MWN/"		sp=adjv:rt=>MN:vc=>\:EMW.N:gl=faithful
">MWN=/"	sp=subs:gn=m:rt=>MN:vc=>@MOWN:gl=fondling
">MWN==/"	sp=nmpr:sm=pers:gn=m:vc=>@MOWN:gl=Amon:co=person
">MWN===/"	sp=nmpr:sm=pers:gn=m:vc=>@MOWN:gl=Amon:co=god
">MWNH/"	sp=subs:vc=>\:EMW.N@H:gl=steadiness
">MWY/"		sp=nmpr:sm=pers:gn=m:vc=>@MOWY:gl=Amoz
">MJ/"		sp=nmpr:sm=pers:gn=m:vc=>@MIJ:gl=Ami
">MJY/"		sp=adjv:rt=>MY:vc=>AM.IJY:gl=strong
">MJR/"		sp=subs:gn=m:rt=>MR:vc=>@MIJR:gl=branch
">ML["		sp=verb:vc=>@MAL:gl=wither
">MLH/"		sp=subs:vc=>\:AMUL@H:gl=<uncertain>
">MLL/"		sp=adjv:vc=>\:AM;L@L:gl=decaying
">MLL=/"	sp=adjv:vc=>UM\:LAL:gl=fading away
">MM/"		sp=nmpr:sm=topo:vc=>\:AM@M:gl=Amam
">MN"		sp=intj:vc=>@M;N:gl=surely
">MN["		sp=verb:vc=>@M;N:gl=be firm
">MN/"		sp=subs:gn=m:vc=>;MUN:gl=faith
">MN=/"		sp=subs:fc=seg:gn=m:vc=>OMEN:gl=faithfulness
">MN==/"	sp=subs:gn=m:vc=>@M.@N:gl=artisan
">MNH"		sp=advb:vc=>@M\:N@H:gl=indeed
">MNH/"		sp=subs:vc=>OM\:N@H:gl=door-post
">MNH=/"	sp=subs:vc=>@M\:N@H:gl=care
">MNH==/"	sp=subs:vc=>\:AM@N@H:gl=trustworthy arrangement
">MNH===/"	sp=nmpr:sm=topo:vc=>\:AM@N@H:gl=Amana
">MNWN/"	sp=nmpr:sm=pers:gn=m:vc=>AM\:NOWN:gl=Amnon
">MNM"		sp=advb:vc=>@M\:N@M:gl=really
">MNM="		sp=advb:vc=>UM\:N@M:gl=really
">MY["		sp=verb:vc=>@M;Y:gl=be strong
">MY/"		sp=subs:fc=seg:gn=m:vc=>OMEY:gl=strength
">MY=/"		sp=adjv:rt=>MY:vc=>@MOY:gl=piebald
">MYH/"		sp=subs:vc=>AM\:Y@H:gl=strength
">MYJ/"		sp=nmpr:sm=pers:gn=m:vc=>AM\:YIJ:gl=Amzi
">MYJH/"	sp=nmpr:sm=pers:gn=m:vc=>\:AMAY\:J@H:gl=Amaziah
">MYJHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:AMAY\:J@HW.:gl=Amaziah
">MR["		sp=verb:ls=quot:vc=>@MAR:gl=say
">MR/"		sp=subs:fc=seg:gn=m:vc=>;MER:gl=word
">MR=["		sp=verb:fc=1>:gl=boast
">MR=/"		sp=subs:fc=seg:gn=m:vc=>OMER:gl=saying
">MR==/"	sp=subs:fc=seg:vc=>;MER:gl=antler
">MR===/"	sp=nmpr:fc=ie:sm=pers:gn=m:vc=>IM.;R:gl=Immer
">MRH/"		sp=subs:vc=>IM\:R@H:gl=word
">MRJ/"		sp=adjv:ls=gntl:vc=>\:EMORIJ:gl=Amorite
">MRJ=/"	sp=nmpr:sm=pers:gn=m:vc=>IM\:RIJ:gl=Imri
">MRJH/"	sp=nmpr:sm=pers:gn=m:vc=>\:AMAR\:J@H:gl=Amariah
">MRJHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:AMAR\:J@HW.:gl=Amariah
">MRPL/"	sp=nmpr:sm=pers:gn=m:vc=>AM\:R@PEL:gl=Amraphel
">MC/"		sp=subs:ls=padv:gn=m:rt=<uncertain>:vc=>EMEC:gl=yesterday evening
">MT/"		sp=subs:fc=seg:vc=>EMET:gl=trustworthiness
">MTXT/"	sp=subs:vc=>AM\:T.AXAT:gl=sack
">MTJ/"		sp=nmpr:sm=pers:gn=m:vc=>\:AMIT.AJ:gl=Amittai
">N"		sp=inrg:vc=>@N:gl=whither
">N/"		sp=nmpr:sm=topo:vc=>ON:gl=<Heliopolis>
">N>"		sp=intj:vc=>@N.@>:gl=pray
">NH["		sp=verb:vc=>@N@H:gl=occur
">NH/"		sp=subs:gn=m:vc=>ONEH:gl=time of mourning
">NH=["		sp=verb:vc=>@N@H:gl=mourn
">NWC/"		sp=subs:gn=m:vc=>\:ENOWC:gl=man
">NWC=/"	sp=adjv:rt=>NC:vc=>@NW.C:gl=incurable
">NWC==/"	sp=nmpr:sm=pers:gn=m:vc=>\:ENOWC:gl=Enosh
">NX["		sp=verb:vc=>@NAX:gl=gasp
">NXH/"		sp=subs:vc=>\:AN@X@H:gl=sigh
">NXNW"		sp=prps:gn=unknown:ps=1:nu=p:vc=>\:ANAX\:NW.:gl=we
">NXRT/"	sp=nmpr:sm=topo:vc=>\:AN@X\:ARAT:gl=Anaharath
">NJ"		sp=prps:gn=unknown:ps=1:nu=s:vc=>\:ANIJ:gl=i
">NJ/"		sp=subs:vc=>\:@NIJ:gl=ship
">NJH/"		sp=subs:vc=>\:@NIJ.@H:gl=ship
">NJH=/"	sp=subs:vc=>\:ANIJ.@H:gl=mourning
">NJ<M/"	sp=nmpr:sm=pers:gn=m:vc=>\:ANIJ<@M:gl=Aniam
">NK/"		sp=subs:gn=m:vc=>\:AN@K\::gl=plummet
">NKJ"		sp=prps:gn=unknown:ps=1:nu=s:vc=>@NOKIJ:gl=i
">NN["		sp=verb:vc=>@NAN:gl=complain
">NS["		sp=verb:fc=1>:gl=compel
">NP["		sp=verb:vc=>@NAP:gl=be angry
">NPH/"		sp=subs:vc=>\:AN@P@H:gl=<bird's name>
">NQ["		sp=verb:fc=1>:gl=sigh
">NQH/"		sp=subs:vc=>\:AN@Q@H:gl=sigh
">NQH=/"	sp=subs:vc=>\:AN@Q@H:gl=gecko
">NC["		sp=verb:fc=1>:gl=be sickly
">S>/"		sp=nmpr:sm=pers:gn=m:vc=>@S@>:gl=Asa
">SWK/"		sp=subs:gn=m:vc=>@SW.K\::gl=jar
">SWN/"		sp=subs:gn=m:rt=>SH:vc=>@SOWN:gl=accident
">SWR/"		sp=subs:gn=m:vc=>;SW.R:gl=fetter
">SJP/"		sp=subs:gn=m:rt=>SP:vc=>@SIJP:gl=harvesting
">SJR/"		sp=subs:gn=m:rt=>SR:vc=>@SIJR:gl=prisoner
">SJR=/"	sp=subs:fc=ai:gn=m:vc=>AS.IJR:gl=prisoner
">SJR==/"	sp=nmpr:fc=ai:sm=pers:gn=m:vc=>AS.IJR:gl=Assir
">SM/"		sp=subs:rt=>SM:vc=>@S@M:gl=store
">SNH/"		sp=nmpr:sm=pers:gn=m:vc=>AS\:N@H:gl=Asnah
">SNT/"		sp=nmpr:sm=pers:gn=f:vc=>@S\:NAT:gl=Asenath
">SP["		sp=verb:vc=>@SAP:gl=gather
">SP/"		sp=subs:fc=seg:gn=m:vc=>OSEP:gl=gathering
">SP=/"		sp=subs:vc=>@SOP:gl=store
">SP==/"	sp=nmpr:sm=pers:gn=m:vc=>@S@P:gl=Asaph
">SPH/"		sp=subs:vc=>\:AS;P@H:gl=<uncertain>
">SPH=/"	sp=subs:vc=>\:ASUP.@H:gl=collection
">SPSP/"	sp=subs:gn=m:vc=>\:ASAP\:SUP:gl=cluster
">SPT>/"	sp=nmpr:sm=pers:gn=m:vc=>AS\:P.@T@>:gl=Aspatha
">SR["		sp=verb:vc=>@SAR:gl=bind
">SR/"		sp=subs:gn=m:vc=>IS.@R:gl=obligation
">SR=/"		sp=nmpr:fc=ai:sm=pers:gn=m:vc=>AS.IR:gl=Assir
">SR_XDN/"	sp=nmpr:sm=pers:gn=m:vc=>;SAR_XAD.ON:gl=Esarhaddon
">STR/"		sp=nmpr:sm=pers:gn=f:vc=>ES\:T.;R:gl=Esther
">P"		sp=advb:ls=focp:vc=>AP:gl=even
">P/"		sp=subs:gn=m:rt=>NP:vc=>AP:gl=nose
">PD["		sp=verb:fc=1>:gl=dress
">PD/"		sp=subs:gn=m:vc=>;POD:gl=ephod
">PD=/"		sp=nmpr:sm=pers:gn=m:vc=>;POD:gl=Ephod
">PDH/"		sp=subs:vc=>\:APUD.@H:gl=covering
">PDN/"		sp=subs:gn=m:vc=>AP.EDEN:gl=royal tent
">PH["		sp=verb:vc=>@P@H:gl=bake
">PH/"		sp=subs:fc=ptca:gn=m:vc=>OPEH:gl=baker
">PW"		sp=intj:vc=>;POW:gl=then
">PJX/"		sp=nmpr:fc=ai:sm=pers:gn=m:vc=>\:APIJXA:gl=Aphiah
">PJL/"		sp=adjv:rt=>PL:vc=>@PIJL:gl=late
">PJM/"		sp=nmpr:sm=pers:gn=m:vc=>AP.AJIM:gl=Appaim
">PJQ/"		sp=subs:gn=m:rt=>PQ:vc=>@PIJQ:gl=stream
">PJQ=/"	sp=adjv:rt=>PQ:vc=>@PIJQ:gl=strong
">PJQ==/"	sp=nmpr:sm=topo:vc=>\:APIJQ:gl=Aphek
">PL/"		sp=subs:fc=ae:gn=m:vc=>@P;L:gl=darkness
">PL=/"		sp=subs:fc=seg:gn=m:vc=>OPEL:gl=darkness
">PLH/"		sp=subs:vc=>\:AP;L@H:gl=darkness
">PLL/"		sp=nmpr:sm=pers:gn=m:vc=>EP\:L@L:gl=Ephlal
">PN/"		sp=subs:fc=seg:vc=>OPEN:gl=right time
">PS["		sp=verb:vc=>@P;S:gl=end
">PS/"		sp=subs:ls=nmcp:fc=seg:gn=m:vc=>EPES:gl=end
">PS_DMJM/"	sp=nmpr:sm=topo:vc=>EPES_D.AM.IJM:gl=Ephes Dammim
">PSJM/"	sp=subs:gn=m:vc=>@P\:SAJIM:gl=ankles
">P</"		sp=subs:gn=m:vc=>@PA<:gl=<uncertain>
">P<H/"		sp=subs:gn=m:rt=P<H:vc=>EP\:<EH:gl=snake
">PP["		sp=verb:vc=>@PAP:gl=encompass
">PQ["		sp=verb:fc=1>:gl=be strong
">PQ/"		sp=nmpr:sm=topo:vc=>\:AP;Q:gl=Aphek
">PQH/"		sp=nmpr:sm=topo:vc=>\:AP;Q@H:gl=Aphekah
">PR/"		sp=subs:fc=seg:gn=m:vc=>;PER:gl=dust
">PR=/"		sp=subs:fc=ae:gn=m:vc=>\:AP;R:gl=band
">PRX/"		sp=subs:vc=>EP\:ROXA:gl=young one
">PRJWN/"	sp=subs:gn=m:vc=>AP.IR\:JOWN:gl=litter
">PRJM/"	sp=nmpr:sm=pers,gens,topo:vc=>EP\:RAJIM:gl=Ephraim
">PRT/"		sp=nmpr:sm=topo,pers:gn=f:st=a:vc=>EP\:R@T:gl=Ephrath
">PRTH/"	sp=nmpr:sm=topo,pers:gn=f:st=a:vc=>EP\:R@T@H:gl=Ephrathah
">PRTJ/"	sp=adjv:ls=gntl:vc=>EP\:R@TIJ:gl=Ephrathite
">YBWN/"	sp=nmpr:sm=pers:gn=m:vc=>EY\:B.OWN:gl=Ezbon
">YB</"		sp=subs:gn=f:vc=>EY\:B.A<:gl=finger
">YJL/"		sp=subs:rt=>YL:vc=>@YIJL:gl=remote part
">YJL=/"	sp=adjv:rt=>YL:vc=>@YIJL:gl=noble
">YJL==/"	sp=subs:fc=ai:gn=f:vc=>AY.IJL:gl=armpit
">YL["		sp=verb:fc=1>:gl=set aside
">YL/"		sp=subs:fc=seg:ls=ppre:vc=>;YEL:gl=side
">YL=/"		sp=nmpr:fc=ae:sm=pers:gn=m:vc=>@Y;L:gl=Azel
">YL==/"	sp=nmpr:sm=topo:vc=>@YAL:gl=Azel
">YLJHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:AYAL\:J@HW.:gl=Azaliah
">YM/"		sp=nmpr:fc=seg:sm=pers:gn=m:vc=>OYEM:gl=Ozem
">Y<DH/"	sp=subs:vc=>EY\:<@D@H:gl=bracelet
">YR["		sp=verb:fc=1>:gl=store
">YR/"		sp=nmpr:fc=seg:sm=pers:gn=m:vc=>;YER:gl=Ezer
">QDX/"		sp=subs:gn=m:vc=>EQ\:D.@X:gl=beryl
">QW/"		sp=subs:gn=m:vc=>AQ.OW:gl=wild goat
">R>/"		sp=nmpr:sm=pers:gn=m:vc=>\:AR@>:gl=Ara
">R>L/"		sp=subs:gn=m:vc=>AR\:>;L:gl=<uncertain>
">R>LJ/"	sp=adjv:ls=gntl:vc=>AR\:>;LIJ:gl=Arelite
">R>LJ=/"	sp=nmpr:sm=pers:gn=m:vc=>AR\:>;LIJ:gl=Areli
">RB["		sp=verb:vc=>@RAB:gl=lie in ambush
">RB/"		sp=subs:fc=seg:gn=m:vc=>OREB:gl=ambush
">RB=/"		sp=subs:fc=seg:gn=m:vc=>EREB:gl=ambush
">RB==/"	sp=nmpr:sm=topo:vc=>\:ARAB:gl=Arab
">RBH/"		sp=subs:gn=m:rt=RBH:vc=>AR\:B.EH:gl=locust
">RBH=/"	sp=subs:vc=>\:ARUB.@H:gl=hole
">RBH==/"	sp=subs:vc=>@R\:B.@H:gl=<uncertain>
